Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00431,5333,5680,4402,52,28,63,3423,3728,3472,1672,1215,1447
PCA_NC_00319,779,755,686,56,36,56,638,725,671,1315,1803,1999
PCA_NC_00318,1037,1112,934,194,172,230,2185,2104,1995,5460,5490,5710
PCA_NC_00317,6,2,2,0,0,6,2,10,14,8,8,8
PCA_NC_00316,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00315,0,1,0,0,0,0,0,0,0,0,0,0
PCA_NC_00314,0,0,0,0,0,0,0,0,0,0,0,2
PCA_NC_00313,0,0,2,0,0,0,0,0,0,14,8,40
PCA_NC_00312,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00311,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00310,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00397,0,0,0,0,0,0,0,0,0,0,0,1
PCA_NC_00396,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00395,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00394,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00393,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00392,963,956,916,147,138,189,1487,1645,1679,4636,5884,6332
PCA_NC_00391,2494,2472,2335,155,141,208,1355,1345,1250,6310,6506,7356
PCA_NC_00390,302,265,260,56,38,74,2004,1736,1824,1236,2105,2051
PCA_NC_00399,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00398,2,2,2,0,0,0,0,1,0,2,9,28
PCA_NC_00218,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00219,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00212,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00213,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00210,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00211,6,16,16,2,0,0,4,10,4,0,2,4
PCA_NC_00216,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00217,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00214,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00215,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00268,658,598,560,372,220,349,1894,1676,1767,748,655,854
PCA_NC_00292,283,223,229,34,32,44,148,111,114,1426,1126,1403
PCA_NC_00293,2,1,1,3,6,1,4,0,2,0,0,0
PCA_NC_00290,315,332,217,23,15,40,555,574,572,318,313,293
PCA_NC_00291,2204,2121,2000,169,107,215,2300,2468,2325,2260,3664,4759
PCA_NC_00296,6973,6273,6315,870,638,994,9052,9126,9216,14424,15427,17739
PCA_NC_00297,226,231,221,42,26,58,215,190,220,217,273,396
PCA_NC_00294,17,18,21,105,119,90,42,68,31,6,12,28
PCA_NC_00295,224,154,186,24,18,24,324,295,275,34,150,171
PCA_NC_00298,1533,1618,1495,1251,1008,1535,6679,6616,6331,3094,4031,4455
PCA_NC_00299,40,34,36,0,0,0,57,71,44,90,90,83
PCA_NC_00155,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00154,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00157,4336,3868,3792,198,216,356,2500,2350,2378,1564,2890,3304
PCA_NC_00156,0,0,0,0,0,0,0,0,2,0,0,0
PCA_NC_00151,2,2,0,2,2,0,86,89,62,1603,2621,2432
PCA_NC_00150,3048,2865,3121,19,14,48,211,182,232,11190,14194,15406
PCA_NC_00153,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00152,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00159,94,104,118,356,297,456,1021,977,1350,3961,9251,11849
PCA_NC_00158,59,54,52,6,4,6,37,34,38,685,960,1333
PCA_NC_00058,17108,17220,15521,4,0,6,51,92,78,30,16,12
PCA_NC_00059,0,0,0,2,0,0,0,2,3,2,4,12
PCA_NC_00050,0,0,0,0,0,0,0,2,2,0,0,0
PCA_NC_00051,0,0,0,0,0,0,0,0,3,0,4,2
PCA_NC_00052,1434,1300,896,116,176,231,6491,5658,5674,1559,1992,2018
PCA_NC_00053,1978,1614,2012,310,229,306,1871,1911,1615,1734,1503,1692
PCA_NC_00054,10,8,8,14,0,5,3405,3902,3935,1259,1215,1463
PCA_NC_00055,67,51,38,244,188,303,1039,989,1033,1572,2605,3219
PCA_NC_00056,104,77,102,14,11,19,81,68,78,1006,1424,1896
PCA_NC_00057,2984,2673,3270,138,130,156,1250,1158,1088,615,1016,1159
PCA_NC_00168,0,0,0,30,14,18,571,678,691,381,275,260
PCA_NC_00169,0,0,0,0,0,0,7,8,5,0,0,0
PCA_NC_00164,2263,2055,2042,214,162,214,2273,2226,2179,3538,3901,4441
PCA_NC_00165,23,22,27,26,44,24,97,84,71,710,1136,1204
PCA_NC_00166,0,0,0,0,0,0,6,4,4,4,33,30
PCA_NC_00167,2190,2269,1808,4921,4656,6216,25494,24763,24136,41585,24919,30162
PCA_NC_00160,21,8,14,3,2,0,56,55,67,73,82,124
PCA_NC_00161,2800,2557,2037,8,2,6,4722,4829,5245,36,64,36
PCA_NC_00162,0,0,0,2,2,0,8,14,13,401,399,487
