Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.hcontig_041_127.21,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
evm.model.hcontig_041_127.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_041_127.9,155,163,166,250,959,344,720,302,689,1369,8413,3440,39,34,28
evm.model.hcontig_041_127.18,141,130,181,28,45,27,24,25,17,87,235,109,170,121,150
evm.model.hcontig_041_127.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_006_131.27,2182,2310,2607,9,36,23,5,1,2,13,442,183,1055,1144,1434
evm.model.hcontig_006_131.26,7,18,18,5,9,6,0,0,0,4,30,6,5,2,7
evm.model.hcontig_006_131.20,30,47,42,611,1473,547,58,48,52,146,262,193,87,87,118
evm.model.hcontig_006_131.29,314,377,357,117,259,105,40,78,40,251,661,274,235,168,204
evm.model.hcontig_006_131.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
evm.model.hcontig_006_131.28,827,661,809,417,934,368,222,415,176,1124,2945,1076,514,416,474
evm.model.hcontig_006_131.4,240,244,280,37,69,20,17,16,12,104,254,85,90,87,96
evm.model.hcontig_006_131.17,242,311,385,18,33,15,14,13,12,68,164,61,134,86,142
evm.model.hcontig_006_131.9,1523,1484,1657,137,370,143,58,9,71,106,5783,2530,581,316,489
evm.model.hcontig_006_131.6,533,639,763,225,398,172,72,116,53,374,847,359,146,78,143
evm.model.hcontig_006_131.5,13409,8981,11421,308,908,296,2187,5195,2001,10226,48384,23665,18930,24257,16752
evm.model.hcontig_006_131.3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_006_131.1,30,49,43,0,5,0,2,3,3,21,76,27,18,19,18
evm.model.hcontig_006_131.18,2653,2444,2915,111,260,116,78,80,63,525,1606,592,756,584,830
evm.model.hcontig_006_131.14,395,397,447,171,375,187,485,182,484,972,5032,2705,65,40,79
evm.model.hcontig_006_131.15,0,0,0,66,176,73,21,8,23,36,80,86,0,0,0
evm.model.hcontig_006_131.16,0,0,0,272,633,293,22,8,22,42,60,80,0,0,0
evm.model.hcontig_006_131.10,1366,1379,1456,388,1187,381,248,424,222,871,2742,1208,737,626,676
evm.model.hcontig_006_131.11,9,17,14,2,6,1,1,1,0,4,15,5,3,3,3
evm.model.hcontig_006_131.13,217,241,219,6,27,13,13,4,6,27,120,72,6,10,12
evm.model.hcontig_006_131.21,23,21,30,1,6,2,0,0,0,5,26,5,9,7,12
evm.model.hcontig_006_131.19,0,0,1,9,21,6,7,4,11,3,5,15,1,0,0
evm.model.hcontig_006_131.12,525,626,634,670,1596,704,401,152,372,726,3436,1740,190,111,177
evm.model.hcontig_020_132.18,1,0,2,518,410,120,4,4,6,27,40,77,1,3,0
evm.model.hcontig_020_132.2,1557,1653,1781,153,283,114,63,65,60,266,930,410,704,356,532
evm.model.hcontig_020_132.7,0,0,0,2,17,4,1,0,0,4,3,0,0,1,0
evm.model.hcontig_020_132.6,0,0,0,10,4,0,0,0,0,0,2,0,0,0,0
evm.model.hcontig_020_132.23,2,6,0,0,1,3,12,2,4,11,66,38,1,1,2
evm.model.hcontig_020_132.25,270,250,312,8,19,7,18,27,10,116,275,137,125,120,113
evm.model.hcontig_020_132.11,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
evm.model.hcontig_020_132.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.20,609,509,578,197,388,185,115,123,130,379,1255,691,282,208,243
evm.model.hcontig_020_132.21,96,50,82,77,170,41,26,65,30,46,413,219,83,85,78
evm.model.hcontig_020_132.22,1069,863,1099,96,249,105,104,199,93,475,1055,476,987,840,819
evm.model.hcontig_020_132.24,167,155,189,9,28,9,6,15,3,76,158,66,75,54,70
evm.model.hcontig_020_132.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.9,1261,1003,1274,141,425,149,57,79,40,425,1178,364,652,659,572
evm.model.hcontig_020_132.8,306,280,342,146,360,134,44,50,26,256,1161,430,100,86,108
evm.model.hcontig_020_132.3,202,243,292,31,78,27,9,5,10,103,114,54,82,44,47
evm.model.hcontig_020_132.1,567,623,517,141,362,133,36,20,29,233,655,220,208,174,205
evm.model.hcontig_020_132.4,5,0,3,3,5,9,7,0,5,13,53,44,0,1,0
evm.model.hcontig_020_132.19,2883,2457,3108,213,410,158,382,495,354,1262,4162,2434,714,605,820
evm.model.hcontig_020_132.17,0,0,0,58,64,14,2,1,1,9,10,6,1,0,1
evm.model.hcontig_020_132.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_132.10,457,445,453,113,318,133,64,112,58,358,924,343,296,211,252
