"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.pcontig_009.319" 3.524691846732 3.616200903132 -1.402916977568 -4.348000233168 -1.389975539128 1
"evm.model.pcontig_009.318" 3.3303485084236 2.4058047341736 -1.4087977189664 -1.6766873446464 -2.6506681789844 1
"evm.model.pcontig_009.56" 3.61056719285 5.80196212395 -3.55069224049 -4.19483324971 -1.6670038266 1
"evm.model.pcontig_009.183" 2.852067137468 1.765592876868 -1.957711912572 -2.304271845792 -0.355676255972 1
"evm.model.pcontig_009.181" 2.9543083575162 1.8623087078662 -1.3461854840678 -0.7838384933608 -2.6865930879538 1
"evm.model.pcontig_009.47" 3.8068669808916 3.5467786871316 -1.4320659065884 -2.2834389253264 -3.6381408361084 1
"evm.model.pcontig_009.227" 2.416408303688 2.470484874688 -1.568681744032 -1.926198026552 -1.392013407792 1
"evm.model.pcontig_010.309" 2.8418453141432 5.6004473273332 -1.2961778452468 -3.0225170964428 -4.1235976997868 1
"evm.model.pcontig_010.282" 1.497319338538 3.081656695728 -0.505498440742 -1.900412285092 -2.173065308432 1
"evm.model.pcontig_010.123" 3.0607196039996 2.6242723468396 -0.5609516363604 -3.8902274550584 -1.2338128594204 1
"evm.model.pcontig_010.21" 4.84906891972292 3.28537625604292 -1.56441594843708 -2.47582529335708 -4.09420393397168 1
"evm.model.pcontig_010.74" 3.482156753946 3.166118129466 -2.492066427814 -2.189738045124 -1.966470410474 1
"evm.model.pcontig_011.108" 2.201843794682 3.511803992982 -2.743099136548 -1.757760135478 -1.212788515638 1
"evm.model.pcontig_011.321" 3.0090559216966 1.6782841443266 -1.6013063195934 -2.6569282467264 -0.4291054997034 1
"evm.model.pcontig_011.143" 3.7668416746862 1.9926803316562 -1.8303505801498 -2.2597173371298 -1.6694540890628 1
"evm.model.pcontig_011.142" 3.759952649991 1.949370688511 -0.929689866649 -2.017018446759 -2.762615025094 1
"evm.model.pcontig_011.144" 2.703469569539 2.351110899169 -1.540877316701 -1.802820278786 -1.710882873221 1
"evm.model.pcontig_011.147" 1.85948618931131 4.42440540105131 -2.07660312013525 -1.97134571744369 -2.23594275278369 1
"evm.model.pcontig_011.297" 2.950946730822 1.542973148792 -1.774189994558 -0.998463997348 -1.721265887708 1
"evm.model.pcontig_011.292" 2.19775270983502 2.61577036629502 -1.28458700235198 -1.52147885181908 -2.00745722195898 1
"evm.model.pcontig_011.270" 4.197805918784 2.861933820434 -2.037694385956 -3.003664217416 -2.018381135846 1
"evm.model.pcontig_004.190" 3.07099533315192 4.40605508934192 -1.99169490265338 -1.89054170977238 -3.59481381006808 1
"evm.model.pcontig_004.42" 3.5696737716911 3.4136753086611 -2.4938111845239 -1.8772191704564 -2.6123187253719 1
"evm.model.pcontig_004.333" 2.766395776006 2.080445737296 -1.040732611804 -2.397071077034 -1.409037824464 1
"evm.model.pcontig_004.187" 4.1638366844814 3.2917210718314 -0.7096120341986 -2.0347641995686 -4.7111815225456 1
"evm.model.pcontig_004.16" 2.68264982172464 2.30885906833464 -1.98304561229836 -1.39954586167857 -1.60891741608236 1
"evm.model.pcontig_004.36" 2.524609225012 2.649337705712 -2.754814034726 -1.035494634368 -1.38363826163 1
"evm.model.pcontig_005.461" 3.411145986818 3.182440781448 -1.871368666472 -3.045581503672 -1.676636598122 1
"evm.model.pcontig_005.91" 4.2467256912656 5.5664104788056 -3.3084263440404 -3.4323365450704 -3.0723732809604 1
"evm.model.pcontig_005.125" 4.004832907948 3.200601881648 -3.287092594822 -3.401455138782 -0.516887055992001 1
"evm.model.pcontig_005.122" 4.0896230862786 1.4310889218486 -1.4143208034764 -1.1785118674794 -2.9278793371714 1
